model,worker_id,trained_on,test_env,env_type,mean_reward,std_reward
A3C_Global,Global,All (80-200),50,Unseen,0.9388000000000132,0.1922044744536398
A3C_Global,Global,All (80-200),80,Seen,0.9744000000000135,0.21961020012740753
A3C_Global,Global,All (80-200),95,Unseen,1.069800000000013,0.3837290189704187
A3C_Global,Global,All (80-200),110,Seen,0.9943000000000133,0.29188526855598573
A3C_Global,Global,All (80-200),125,Unseen,0.9986000000000129,0.2771011367713958
A3C_Global,Global,All (80-200),140,Seen,0.9453000000000132,0.2634433715241282
A3C_Global,Global,All (80-200),155,Unseen,1.0991000000000135,0.5090114831710577
A3C_Global,Global,All (80-200),170,Seen,1.0479000000000134,0.4415269980420224
A3C_Global,Global,All (80-200),185,Unseen,1.008500000000014,0.33514959346536555
A3C_Global,Global,All (80-200),200,Seen,1.0785000000000133,0.459402057026304
A3C_Global,Global,All (80-200),220,Unseen,1.0928000000000129,0.42177026922247607
Individual_W0,0,80,50,Unseen,0.9075000000000136,0.1930705829483088
Individual_W0,0,80,80,Seen,0.8641000000000131,0.19127386125657608
Individual_W0,0,80,95,Unseen,0.875400000000013,0.1692921734753258
Individual_W0,0,80,110,Seen,0.8695000000000132,0.18021168108643779
Individual_W0,0,80,125,Unseen,0.9214000000000132,0.14983003704197634
Individual_W0,0,80,140,Seen,0.8589000000000128,0.16162700888155995
Individual_W0,0,80,155,Unseen,0.8809000000000136,0.15867164207885423
Individual_W0,0,80,170,Seen,0.8575000000000134,0.1611342607889453
Individual_W0,0,80,185,Unseen,0.8434000000000134,0.17432280401599767
Individual_W0,0,80,200,Seen,0.8382000000000133,0.1332469887089381
Individual_W0,0,80,220,Unseen,0.8751000000000135,0.1813849221958644
Individual_W1,1,110,50,Unseen,0.8974000000000129,0.1799423240930264
Individual_W1,1,110,80,Seen,0.9017000000000129,0.18640442591311973
Individual_W1,1,110,95,Unseen,0.9255000000000133,0.18494391041610372
Individual_W1,1,110,110,Seen,0.8770000000000131,0.18753133071569622
Individual_W1,1,110,125,Unseen,0.8849000000000131,0.1898775658154475
Individual_W1,1,110,140,Seen,0.8789000000000132,0.17398646499081405
Individual_W1,1,110,155,Unseen,0.8778000000000132,0.1638845935406981
Individual_W1,1,110,170,Seen,0.8755000000000132,0.1810365985098035
Individual_W1,1,110,185,Unseen,0.8781000000000135,0.19523035112399906
Individual_W1,1,110,200,Seen,0.8276000000000131,0.1540462268281827
Individual_W1,1,110,220,Unseen,0.8086000000000133,0.16944332385786046
Individual_W2,2,140,50,Unseen,0.9057000000000128,0.1684191497425394
Individual_W2,2,140,80,Seen,0.8486000000000135,0.16787507259864343
Individual_W2,2,140,95,Unseen,0.8446000000000133,0.16403304545121375
Individual_W2,2,140,110,Seen,0.8835000000000126,0.1626138063019244
Individual_W2,2,140,125,Unseen,0.8851000000000133,0.1774809567249395
Individual_W2,2,140,140,Seen,0.8426000000000132,0.17224761246531076
Individual_W2,2,140,155,Unseen,0.8553000000000129,0.16631419061523237
Individual_W2,2,140,170,Seen,0.8733000000000132,0.18543896570030763
Individual_W2,2,140,185,Unseen,0.8707000000000132,0.15648645308779888
Individual_W2,2,140,200,Seen,0.8351000000000133,0.14322182096314756
Individual_W2,2,140,220,Unseen,0.8360000000000131,0.19479989733056835
Individual_W3,3,170,50,Unseen,0.8927000000000134,0.17087483723474264
Individual_W3,3,170,80,Seen,0.8785000000000128,0.1798589725312579
Individual_W3,3,170,95,Unseen,0.914500000000013,0.17662460191037896
Individual_W3,3,170,110,Seen,0.9148000000000132,0.19734224078995316
Individual_W3,3,170,125,Unseen,0.9138000000000133,0.18453877641297986
Individual_W3,3,170,140,Seen,0.8349000000000134,0.17482130876984014
Individual_W3,3,170,155,Unseen,0.8820000000000134,0.2093943647761318
Individual_W3,3,170,170,Seen,0.8804000000000128,0.2101567034381718
Individual_W3,3,170,185,Unseen,0.8564000000000133,0.15670047862083852
Individual_W3,3,170,200,Seen,0.8662000000000125,0.17244291809175516
Individual_W3,3,170,220,Unseen,0.8325000000000137,0.20025296502174422
Individual_W4,4,200,50,Unseen,0.9313000000000131,0.1929399129262783
Individual_W4,4,200,80,Seen,0.8876000000000126,0.15650955242412504
Individual_W4,4,200,95,Unseen,0.8509000000000134,0.1430094052851066
Individual_W4,4,200,110,Seen,0.8879000000000132,0.19364681768621933
Individual_W4,4,200,125,Unseen,0.8756000000000135,0.1756691207924712
Individual_W4,4,200,140,Seen,0.8661000000000135,0.14375774761730165
Individual_W4,4,200,155,Unseen,0.8836000000000134,0.16895573384765572
Individual_W4,4,200,170,Seen,0.893100000000013,0.1809085127903045
Individual_W4,4,200,185,Unseen,0.8116000000000136,0.17628227364088478
Individual_W4,4,200,200,Seen,0.8976000000000129,0.1706406751041491
Individual_W4,4,200,220,Unseen,0.8604000000000134,0.1476375291042218
