model,worker_id,trained_comp,trained_vel,test_comp,test_vel,env_type,mean_reward,std_reward
A3C_Global,Global,All,All,200,5,Seen,-1.4532489865528353,7.322040603860583
A3C_Global,Global,All,All,200,10,Seen,-0.4772273960343334,9.749793526121467
A3C_Global,Global,All,All,200,15,Seen,-3.5137839553791013,6.213806248647643
A3C_Global,Global,All,All,200,20,Seen,-3.4368999538525724,5.7115486072851365
A3C_Global,Global,All,All,200,20,Seen,-2.640205794253083,6.614995920638411
A3C_Global,Global,All,All,200,7,Intra,-4.500781001779591,6.623202962113056
A3C_Global,Global,All,All,200,12,Intra,-3.462630098689539,6.8685993963116925
A3C_Global,Global,All,All,200,17,Intra,-1.0475319404964885,6.465044451025219
A3C_Global,Global,All,All,200,25,Intra,-2.9193652562982053,5.797947682711138
A3C_Global,Global,All,All,200,30,Intra,-3.3300301619989994,5.293059680670396
A3C_Global,Global,All,All,200,35,Intra,-3.0219789167380595,7.654871738275834
A3C_Global,Global,All,All,100,25,Extra,-23.409069849851175,3.4647512423690645
A3C_Global,Global,All,All,100,30,Extra,-23.257663547475698,4.889237989414598
A3C_Global,Global,All,All,150,25,Extra,-14.029445196386922,5.11199051338097
A3C_Global,Global,All,All,150,30,Extra,-15.363344408519952,4.18713932885652
A3C_Global,Global,All,All,150,35,Extra,-14.856888512050284,6.99491990200482
A3C_Global,Global,All,All,100,10,Extra,-24.133794557648375,3.6001729945992427
A3C_Global,Global,All,All,150,15,Extra,-13.657325004605664,5.62600279815947
Individual_W0,0,200,5,200,5,Seen,-3.3964545289838677,7.865751028532385
Individual_W0,0,200,5,200,10,Seen,1.4518731464552928,7.345279272586425
Individual_W0,0,200,5,200,15,Seen,-3.458712240834426,7.10083401335841
Individual_W0,0,200,5,200,20,Seen,-3.6005760518565144,5.618966586977987
Individual_W0,0,200,5,200,20,Seen,-2.3082495531258256,8.022190390213652
Individual_W0,0,200,5,200,7,Intra,-1.296435933467392,10.072501182431202
Individual_W0,0,200,5,200,12,Intra,-1.164720391989275,8.958818467845862
Individual_W0,0,200,5,200,17,Intra,-2.3417828211674476,8.03639084035577
Individual_W0,0,200,5,200,25,Intra,-0.5995644769986408,7.479977133686504
Individual_W0,0,200,5,200,30,Intra,-1.532365532588496,9.390218055664212
Individual_W0,0,200,5,200,35,Intra,-2.8687935885461804,9.048818991297194
Individual_W0,0,200,5,100,25,Extra,-25.35996820900404,4.647953116223209
Individual_W0,0,200,5,100,30,Extra,-25.096429081960885,4.1726018691812135
Individual_W0,0,200,5,150,25,Extra,-15.023666481481582,4.135460959438438
Individual_W0,0,200,5,150,30,Extra,-13.154600947261455,7.52094128069646
Individual_W0,0,200,5,150,35,Extra,-10.91520161000261,5.161781959077397
Individual_W0,0,200,5,100,10,Extra,-25.2665209003186,4.857292892876913
Individual_W0,0,200,5,150,15,Extra,-11.854176064611233,6.317737212031935
Individual_W1,1,200,10,200,5,Seen,32.76605988018367,12.123891849490386
Individual_W1,1,200,10,200,10,Seen,33.76547100223136,12.957304547601208
Individual_W1,1,200,10,200,15,Seen,31.312031839526057,14.26193606116278
Individual_W1,1,200,10,200,20,Seen,33.130929616661426,11.135180074586069
Individual_W1,1,200,10,200,20,Seen,33.15565046315928,13.654126832487652
Individual_W1,1,200,10,200,7,Intra,30.737601154342695,15.07269413749854
Individual_W1,1,200,10,200,12,Intra,30.502403779445235,13.93346108053589
Individual_W1,1,200,10,200,17,Intra,33.105367502826326,11.766269483102004
Individual_W1,1,200,10,200,25,Intra,33.98483982822469,9.127837909496018
Individual_W1,1,200,10,200,30,Intra,36.59117495273818,12.493887594529172
Individual_W1,1,200,10,200,35,Intra,33.768606957871306,7.457211635511187
Individual_W1,1,200,10,100,25,Extra,16.30928528040463,8.289231223711532
Individual_W1,1,200,10,100,30,Extra,14.015658475146491,9.787937387438948
Individual_W1,1,200,10,150,25,Extra,27.296606704142725,8.290556928213386
Individual_W1,1,200,10,150,30,Extra,24.62442705237623,10.152511084459416
Individual_W1,1,200,10,150,35,Extra,25.212702606028127,10.875894374135315
Individual_W1,1,200,10,100,10,Extra,8.447997720594545,11.965680258221317
Individual_W1,1,200,10,150,15,Extra,23.606469577159352,10.510488582311499
Individual_W2,2,200,15,200,5,Seen,1.4776137585731302,14.005693265990548
Individual_W2,2,200,15,200,10,Seen,2.1937375928252494,14.53407422663021
Individual_W2,2,200,15,200,15,Seen,5.286942708363033,14.677747844398661
Individual_W2,2,200,15,200,20,Seen,2.0249165257643273,12.59743708870287
Individual_W2,2,200,15,200,20,Seen,-0.009515130048058278,8.521545654320592
Individual_W2,2,200,15,200,7,Intra,-1.1027529791105595,10.137065595003982
Individual_W2,2,200,15,200,12,Intra,-1.3187820770975767,11.203349901763323
Individual_W2,2,200,15,200,17,Intra,-0.44125131727876926,8.71307706290983
Individual_W2,2,200,15,200,25,Intra,3.1636860608168513,13.481735248506226
Individual_W2,2,200,15,200,30,Intra,0.5316197533474932,9.693555350585767
Individual_W2,2,200,15,200,35,Intra,0.6060010331861692,9.035753317385211
Individual_W2,2,200,15,100,25,Extra,-23.87332599654238,6.088641729454382
Individual_W2,2,200,15,100,30,Extra,-22.05697026933684,5.722894804791468
Individual_W2,2,200,15,150,25,Extra,-9.36783063423987,6.952636205676899
Individual_W2,2,200,15,150,30,Extra,-10.577033393077839,8.37437934607637
Individual_W2,2,200,15,150,35,Extra,-12.974751144738663,7.609530435738797
Individual_W2,2,200,15,100,10,Extra,-27.34682912027229,3.962295649063998
Individual_W2,2,200,15,150,15,Extra,-9.946462855319414,10.15940535641192
Individual_W3,3,200,20,200,5,Seen,-3.24259796390353,7.9117282769277555
Individual_W3,3,200,20,200,10,Seen,-2.1112708102168853,7.574357995649464
Individual_W3,3,200,20,200,15,Seen,-4.5633097969984,7.122882792664032
Individual_W3,3,200,20,200,20,Seen,-3.5927965879997927,6.093778454781777
Individual_W3,3,200,20,200,20,Seen,-4.36552527239978,6.700108425554036
Individual_W3,3,200,20,200,7,Intra,-5.033168625772444,6.698949238094702
Individual_W3,3,200,20,200,12,Intra,-5.2040702385267315,8.920370288614507
Individual_W3,3,200,20,200,17,Intra,-5.884452786234438,6.937581252479199
Individual_W3,3,200,20,200,25,Intra,-3.333591626480276,8.717189118479974
Individual_W3,3,200,20,200,30,Intra,-5.849191883277182,9.544954139807118
Individual_W3,3,200,20,200,35,Intra,-3.8449984289411474,6.8274733398671685
Individual_W3,3,200,20,100,25,Extra,-26.31334381194658,4.6822607279907285
Individual_W3,3,200,20,100,30,Extra,-26.266116760574725,3.2998887930406537
Individual_W3,3,200,20,150,25,Extra,-16.072713285626165,5.90458443287794
Individual_W3,3,200,20,150,30,Extra,-16.076453281672414,5.830717286285891
Individual_W3,3,200,20,150,35,Extra,-13.895886864306863,7.210231690602288
Individual_W3,3,200,20,100,10,Extra,-26.978101275797695,4.209281104309283
Individual_W3,3,200,20,150,15,Extra,-12.7267345799341,4.997414215520604
Individual_W4,4,200,20,200,5,Seen,30.697735114316888,14.538091503373307
Individual_W4,4,200,20,200,10,Seen,26.946498445252494,14.836934565448262
Individual_W4,4,200,20,200,15,Seen,30.031264973322767,13.33972148293098
Individual_W4,4,200,20,200,20,Seen,26.602477879349827,13.280510950854358
Individual_W4,4,200,20,200,20,Seen,31.215097298857255,12.81429603099049
Individual_W4,4,200,20,200,7,Intra,24.184071447530027,16.24793515398019
Individual_W4,4,200,20,200,12,Intra,24.866716432570772,15.835008246318903
Individual_W4,4,200,20,200,17,Intra,25.065066339785854,14.500088278521279
Individual_W4,4,200,20,200,25,Intra,29.555983831468026,15.022154060714266
Individual_W4,4,200,20,200,30,Intra,27.024735994437275,14.609551953666964
Individual_W4,4,200,20,200,35,Intra,27.393222940418582,15.20639723960517
Individual_W4,4,200,20,100,25,Extra,6.817505269356116,15.509884642993011
Individual_W4,4,200,20,100,30,Extra,-1.2545638761740228,14.9081201442901
Individual_W4,4,200,20,150,25,Extra,17.050872181230336,14.121642704655613
Individual_W4,4,200,20,150,30,Extra,21.40209234732911,12.248438976651382
Individual_W4,4,200,20,150,35,Extra,17.43795741397646,14.035284919337556
Individual_W4,4,200,20,100,10,Extra,0.4622859750615491,17.270776653332522
Individual_W4,4,200,20,150,15,Extra,18.62702001554028,14.889515558174134
