model,worker_id,trained_comp,trained_vel,test_comp,test_vel,env_type,mean_reward,std_reward
A3C_Global,Global,All,All,200,5,Seen,31.106666666666673,5.8195036061697065
A3C_Global,Global,All,All,200,10,Seen,31.780000000000005,7.035405697849509
A3C_Global,Global,All,All,200,15,Seen,30.871666666666666,7.43392766682294
A3C_Global,Global,All,All,200,20,Seen,29.185,5.572165198556123
A3C_Global,Global,All,All,200,25,Seen,31.62666666666667,7.02069243182054
A3C_Global,Global,All,All,200,7,Intra,29.790000000000006,5.395992339999507
A3C_Global,Global,All,All,200,12,Intra,29.785000000000004,6.1302820761636525
A3C_Global,Global,All,All,200,17,Intra,32.83500000000001,9.523971073034613
A3C_Global,Global,All,All,200,25,Intra,30.720000000000002,6.725283141499199
A3C_Global,Global,All,All,200,30,Intra,30.073333333333334,5.356985055876942
A3C_Global,Global,All,All,200,35,Intra,29.740000000000006,4.965873538462292
A3C_Global,Global,All,All,100,25,Extra,13.745000000000003,3.0717082652274565
A3C_Global,Global,All,All,100,30,Extra,13.443333333333333,3.373962391939517
A3C_Global,Global,All,All,150,25,Extra,21.076666666666664,4.477196543473258
A3C_Global,Global,All,All,150,30,Extra,21.560000000000002,5.070788893259114
A3C_Global,Global,All,All,150,35,Extra,22.189999999999998,5.266994715521682
A3C_Global,Global,All,All,100,10,Extra,14.241666666666667,4.201965479259545
A3C_Global,Global,All,All,150,15,Extra,22.348333333333336,4.293861574646092
Individual_W0,0,200,5,200,5,Seen,50.49333333333334,13.36073060211238
Individual_W0,0,200,5,200,10,Seen,55.931666666666665,13.297233317080998
Individual_W0,0,200,5,200,15,Seen,58.925000000000004,10.980617393085572
Individual_W0,0,200,5,200,20,Seen,55.838333333333345,10.804572206041088
Individual_W0,0,200,5,200,25,Seen,54.684999999999995,12.941336548698
Individual_W0,0,200,5,200,7,Intra,55.29666666666665,12.44283551107044
Individual_W0,0,200,5,200,12,Intra,54.32500000000001,13.365919035616917
Individual_W0,0,200,5,200,17,Intra,55.58833333333334,12.5280464248111
Individual_W0,0,200,5,200,25,Intra,54.11999999999999,11.312453314820795
Individual_W0,0,200,5,200,30,Intra,57.123333333333335,10.505599565099663
Individual_W0,0,200,5,200,35,Intra,57.70333333333333,13.32734615576393
Individual_W0,0,200,5,100,25,Extra,31.50333333333333,8.504880298328064
Individual_W0,0,200,5,100,30,Extra,31.883333333333333,9.664965367530066
Individual_W0,0,200,5,150,25,Extra,44.365,9.366982349365955
Individual_W0,0,200,5,150,30,Extra,45.375,9.56692871301966
Individual_W0,0,200,5,150,35,Extra,45.21333333333334,11.372121858103508
Individual_W0,0,200,5,100,10,Extra,33.489999999999995,8.77863315100933
Individual_W0,0,200,5,150,15,Extra,43.186666666666675,11.77253111649695
Individual_W1,1,200,10,200,5,Seen,30.59333333333334,5.841400136573043
Individual_W1,1,200,10,200,10,Seen,31.995,5.045102410589238
Individual_W1,1,200,10,200,15,Seen,29.65,5.526738037335708
Individual_W1,1,200,10,200,20,Seen,30.455,4.382718904972119
Individual_W1,1,200,10,200,25,Seen,28.720000000000006,4.874826492638824
Individual_W1,1,200,10,200,7,Intra,30.356666666666676,6.42745067831891
