model,worker_id,trained_comp,trained_vel,test_comp,test_vel,env_type,mean_reward,std_reward
A3C_Global,Global,All,All,200,5,Seen,74.5,7.835060093366651
A3C_Global,Global,All,All,200,10,Seen,76.34833333333333,9.053797392377534
A3C_Global,Global,All,All,200,15,Seen,76.77333333333334,7.063742319447645
A3C_Global,Global,All,All,200,20,Seen,73.17666666666668,6.194765711649008
A3C_Global,Global,All,All,200,25,Seen,78.69666666666667,7.54126352513659
A3C_Global,Global,All,All,200,7,Intra,75.81500000000001,9.188318217533972
A3C_Global,Global,All,All,200,12,Intra,75.66166666666668,8.405907479597643
A3C_Global,Global,All,All,200,17,Intra,75.695,7.264999999999999
A3C_Global,Global,All,All,200,25,Intra,75.73833333333333,5.766551299424027
A3C_Global,Global,All,All,200,30,Intra,76.545,7.344344195819438
A3C_Global,Global,All,All,200,35,Intra,75.88833333333335,6.091177818962621
A3C_Global,Global,All,All,100,25,Extra,60.93666666666666,3.96126943738438
A3C_Global,Global,All,All,100,30,Extra,58.89666666666666,3.669671496045507
A3C_Global,Global,All,All,150,25,Extra,67.86999999999999,4.909490808627712
A3C_Global,Global,All,All,150,30,Extra,68.885,6.7732826851780885
A3C_Global,Global,All,All,150,35,Extra,68.50666666666666,6.391344841963148
A3C_Global,Global,All,All,100,10,Extra,59.263333333333335,6.6255683194391395
A3C_Global,Global,All,All,150,15,Extra,68.52666666666667,5.391362433456767
Individual_W0,0,200,5,200,5,Seen,29.86,5.051310061096363
Individual_W0,0,200,5,200,10,Seen,31.551666666666666,6.900513064660885
Individual_W0,0,200,5,200,15,Seen,29.351666666666663,5.193786084244218
Individual_W0,0,200,5,200,20,Seen,30.481666666666673,6.916507829501502
Individual_W0,0,200,5,200,25,Seen,31.945,6.344753081615287
Individual_W0,0,200,5,200,7,Intra,30.266666666666673,7.944445998445846
Individual_W0,0,200,5,200,12,Intra,31.245000000000008,7.127205506601683
Individual_W0,0,200,5,200,17,Intra,30.041666666666664,6.604406147077538
Individual_W0,0,200,5,200,25,Intra,31.230000000000004,6.765902255673911
Individual_W0,0,200,5,200,30,Intra,30.564999999999994,5.437020476940166
Individual_W0,0,200,5,200,35,Intra,30.188333333333336,8.26304709064533
Individual_W0,0,200,5,100,25,Extra,13.985000000000003,4.48683537325214
Individual_W0,0,200,5,100,30,Extra,14.623333333333335,2.8826704440308277
Individual_W0,0,200,5,150,25,Extra,21.92166666666667,4.507247558716468
Individual_W0,0,200,5,150,30,Extra,21.380000000000003,4.77548601366046
Individual_W0,0,200,5,150,35,Extra,21.089999999999996,3.201676644093425
Individual_W0,0,200,5,100,10,Extra,13.831666666666667,3.5006543039202764
Individual_W0,0,200,5,150,15,Extra,22.125,6.127965268613501
Individual_W1,1,200,10,200,5,Seen,50.345,12.559679865877689
Individual_W1,1,200,10,200,10,Seen,52.93,4.185602306319446
Individual_W1,1,200,10,200,15,Seen,55.34666666666667,4.978385503576657
Individual_W1,1,200,10,200,20,Seen,54.15666666666667,4.484115173463868
Individual_W1,1,200,10,200,25,Seen,54.915000000000006,5.502213948342372
Individual_W1,1,200,10,200,7,Intra,53.33166666666666,4.021058801968568
Individual_W1,1,200,10,200,12,Intra,54.07666666666668,4.0868433893273775
Individual_W1,1,200,10,200,17,Intra,53.37333333333333,4.713840142483503
Individual_W1,1,200,10,200,25,Intra,53.51833333333333,4.0557055147313426
Individual_W1,1,200,10,200,30,Intra,54.265,4.154859604527371
Individual_W1,1,200,10,200,35,Intra,54.23333333333335,5.473806313302983
Individual_W1,1,200,10,100,25,Extra,51.723333333333336,2.302018437999333
Individual_W1,1,200,10,100,30,Extra,51.37166666666667,1.7675634516349201
Individual_W1,1,200,10,150,25,Extra,52.40166666666666,3.192634318065395
Individual_W1,1,200,10,150,30,Extra,52.27000000000001,3.6078987421119972
Individual_W1,1,200,10,150,35,Extra,53.085,3.0785047777560233
Individual_W1,1,200,10,100,10,Extra,52.11333333333334,2.3892792962639504
Individual_W1,1,200,10,150,15,Extra,52.03000000000001,3.1344483831555845
Individual_W2,2,200,15,200,5,Seen,27.17333333333334,4.058401436800238
Individual_W2,2,200,15,200,10,Seen,31.983333333333338,6.189700226092448
Individual_W2,2,200,15,200,15,Seen,29.43166666666667,6.436620274302002
Individual_W2,2,200,15,200,20,Seen,30.336666666666666,5.986219359681221
Individual_W2,2,200,15,200,25,Seen,32.34,6.262166824137899
Individual_W2,2,200,15,200,7,Intra,29.028333333333332,5.955693121338233
Individual_W2,2,200,15,200,12,Intra,29.74,6.255536214692815
Individual_W2,2,200,15,200,17,Intra,28.96666666666666,4.632427969098806
Individual_W2,2,200,15,200,25,Intra,32.355000000000004,7.08679934808373
Individual_W2,2,200,15,200,30,Intra,31.34666666666667,7.3628338445344665
Individual_W2,2,200,15,200,35,Intra,29.945000000000004,8.458795718067673
Individual_W2,2,200,15,100,25,Extra,13.471666666666668,2.3108686437980173
Individual_W2,2,200,15,100,30,Extra,14.246666666666664,3.515630179008531
Individual_W2,2,200,15,150,25,Extra,23.53666666666667,5.068841638437282
Individual_W2,2,200,15,150,30,Extra,22.814999999999994,5.693785354811567
Individual_W2,2,200,15,150,35,Extra,22.790000000000003,3.6256815451259183
Individual_W2,2,200,15,100,10,Extra,13.745000000000003,3.165710820653081
Individual_W2,2,200,15,150,15,Extra,21.241666666666664,3.7705234679315054
Individual_W3,3,200,20,200,5,Seen,25.133333333333336,6.34663077720945
Individual_W3,3,200,20,200,10,Seen,26.130000000000003,6.062433504789969
Individual_W3,3,200,20,200,15,Seen,26.380000000000003,6.472230424410635
Individual_W3,3,200,20,200,20,Seen,28.665000000000003,8.939622941340051
Individual_W3,3,200,20,200,25,Seen,28.189999999999998,7.72901891143587
Individual_W3,3,200,20,200,7,Intra,24.675000000000004,4.618364609541636
Individual_W3,3,200,20,200,12,Intra,25.543333333333337,5.773787511003694
Individual_W3,3,200,20,200,17,Intra,26.50166666666667,5.821690523856071
Individual_W3,3,200,20,200,25,Intra,24.84166666666666,5.874323838158359
Individual_W3,3,200,20,200,30,Intra,26.73833333333333,6.467800802608427
Individual_W3,3,200,20,200,35,Intra,27.30666666666667,6.1539111321355815
Individual_W3,3,200,20,100,25,Extra,12.433333333333335,3.750629576780707
Individual_W3,3,200,20,100,30,Extra,12.041666666666668,3.4233775557026855
Individual_W3,3,200,20,150,25,Extra,18.925,4.549445936961263
Individual_W3,3,200,20,150,30,Extra,20.138333333333332,5.26381805874363
Individual_W3,3,200,20,150,35,Extra,19.268333333333334,5.469407087508562
Individual_W3,3,200,20,100,10,Extra,12.85,3.9855154413617986
Individual_W3,3,200,20,150,15,Extra,21.27,5.785219673155606
Individual_W4,4,200,25,200,5,Seen,30.860000000000003,6.087752732604481
Individual_W4,4,200,25,200,10,Seen,32.73666666666667,5.417039987135246
Individual_W4,4,200,25,200,15,Seen,31.69,7.78370520168041
Individual_W4,4,200,25,200,20,Seen,30.131666666666664,6.120382386383678
Individual_W4,4,200,25,200,25,Seen,31.39333333333333,6.05042330934144
Individual_W4,4,200,25,200,7,Intra,32.54666666666667,7.221471841360012
Individual_W4,4,200,25,200,12,Intra,31.978333333333335,7.36823908557684
Individual_W4,4,200,25,200,17,Intra,33.27166666666667,7.441064925279327
Individual_W4,4,200,25,200,25,Intra,30.883333333333336,6.5964047446738405
Individual_W4,4,200,25,200,30,Intra,30.506666666666668,7.483022265249664
Individual_W4,4,200,25,200,35,Intra,32.29,8.22398321982724
Individual_W4,4,200,25,100,25,Extra,14.995,5.626475362071713
Individual_W4,4,200,25,100,30,Extra,14.933333333333334,4.66712497749477
Individual_W4,4,200,25,150,25,Extra,24.111666666666665,5.476353460307527
Individual_W4,4,200,25,150,30,Extra,22.253333333333337,5.40146482189991
Individual_W4,4,200,25,150,35,Extra,24.20333333333333,5.187676636885618
Individual_W4,4,200,25,100,10,Extra,15.313333333333334,4.142783551617868
Individual_W4,4,200,25,150,15,Extra,23.30666666666667,4.4076020187348535
